iterations,depth,learning_rate,avg_MAE
2000,4,0.01,2.807758622456807
2000,4,0.025,2.825439980279976
1500,4,0.025,2.829687604572751
1500,4,0.01,2.851440886801133
2000,4,0.05,2.8627785674233364
1500,4,0.05,2.865441973785085
1500,5,0.05,2.9100703577668314
2000,5,0.05,2.910082031909006
2000,5,0.025,2.9646032160902767
1500,5,0.025,2.966625923837131
2000,5,0.01,2.987335872400588
1500,5,0.01,3.035475314052063
