Year,Round,Race,AirTemp,TrackTemp,Humidity,Pressure,WindSpeed,Rainfall,type,length_km,avg_speed_kmh,drs_zones_prev,active_aero_zones,tyre_wear,downforce_req,power_sensitivity,turns,PredictedPoleTime
2026,9,British Grand Prix,19.06488800406257,26.70520957022909,72.00485626,997.7816827,2.697370932321218,False,Permanent,5.891,247,2,4,High,Medium-High,7,18,90.512
2026,10,Belgian Grand Prix,18.77627026426827,26.02339440373084,80.08915643539228,966.2171504818288,1.2265478569842323,False,Permanent,7.004,239,2,3,Medium,Medium,8,19,103.804
2026,11,Hungarian Grand Prix,25.24639652014652,36.62865384615385,51.15338827838828,984.7589789377288,1.9541804029304028,False,Permanent,4.381,214,1,2,Medium,High,4,14,74.162
2026,12,Dutch Grand Prix,22.49067349422729,31.465058816710712,59.74682060555479,1007.0096891083598,2.9815348796772847,False,Permanent,4.259,215,2,3,High,High,5,14,69.006
2026,13,Italian Grand Prix,28.959854754949696,42.79981742940603,37.05229633235962,996.0642404999188,1.2933341447581954,False,Permanent,5.793,259,2,4,Low,Low,10,11,76.823
2026,14,Spanish Grand Prix,27.187439807999016,38.87463249469828,49.039646209054105,1003.2988142340114,1.9592531919834557,False,Permanent,4.657,203,2,3,High,Medium-High,6,12,74.431
2026,15,Azerbaijan Grand Prix,23.014836844756697,32.772076690694576,61.215822241060174,1014.2517927525248,1.3323105941139002,False,Street,6.003,210,2,4,Low,Medium,9,20,100.0
2026,16,Singapore Grand Prix,28.915834719142648,32.21522343573558,76.73336246513125,1009.4946766817468,1.3646339228238322,False,Street,4.94,192,3,4,Medium,High,5,19,91.602
2026,17,United States Grand Prix,31.99633160721136,40.29100264,31.081162734944375,994.7545685174528,2.638748465669352,False,Permanent,5.513,209,2,3,High,Medium-High,7,20,94.917
2026,18,Mexico City Grand Prix,24.896189458689456,44.52199667616335,32.84104938271605,782.0200854623932,1.5208452041785374,False,Permanent,4.304,197,3,4,Low,Low,8,17,75.578
2026,19,São Paulo Grand Prix,23.69649040561139,32.176807058590164,75.18095398,921.9854919726024,1.4167355102817611,False,Permanent,4.309,220,2,3,Medium,Medium,7,15,74.432
2026,20,Las Vegas Grand Prix,12.89692575764483,14.498576848460903,51.11985655021503,943.1726787423828,1.0073639582415244,False,Street,6.12,249,3,5,Low,Low,9,17,94.702
2026,21,Qatar Grand Prix,23.57640364678751,27.195816779783343,63.33576284865162,1013.584097990052,2.0666487057352843,False,Permanent,5.38,237,2,3,Very High,Medium-High,7,16,78.034
2026,22,Abu Dhabi Grand Prix,26.600890509794617,31.14296217903524,69.63110756204978,1015.9219948219376,1.4413503670352985,False,Permanent,5.281,221,2,3,Low,Medium,7,16,82.91
