Year,Round,Race,PoleTime,AirTemp,TrackTemp,Humidity,Pressure,Rainfall,type,length_km,avg_speed_kmh,drs_zones_prev,active_aero_zones,tyre_wear,downforce_req,power_sensitivity,turns
2023,20,São Paulo Grand Prix,70.162,29.37906977,38.33372093,57.3372093,917.4872093,TRUE,Permanent,4.309,220,2,3,Medium,Medium,7,15
2023,21,Las Vegas Grand Prix,92.726,15.1278481,16.88101266,61.06329114,942.2240506,FALSE,Street,6.12,249,3,5,Low,Low,9,17
2023,22,Abu Dhabi Grand Prix,83.445,26.73333333,31.84615385,66.30769231,1014.437179,FALSE,Permanent,5.281,221,2,3,Low,Medium,7,16
2024,1,Bahrain Grand Prix,89.179,18.04935065,21.51428571,46.94805195,1019.064935,FALSE,Permanent,5.412,213,3,4,High,Medium,7,15
2024,2,Saudi Arabian Grand Prix,87.472,25.10638298,30.78617021,56.05319149,1014.804255,FALSE,Street,6.174,254,3,5,Low,Low,9,27
2024,3,Australian Grand Prix,75.915,18.74230769,34.41410256,53.58974359,1024.023077,TRUE,Street-Park,5.278,231,3,4,Medium,Medium,7,14
2024,4,Japanese Grand Prix,88.197,17.53947368,26.71052632,58.10526316,1013.840789,FALSE,Permanent,5.807,229,1,3,Low,High,6,18
2024,5,Chinese Grand Prix,93.66,22.09418605,33.88837209,55.43023256,1007.45,FALSE,Permanent,5.451,222,2,3,Medium,Medium,8,16
2024,6,Miami Grand Prix,87.241,29.06363636,47.29480519,54.87012987,1015.520779,FALSE,Street-Park,5.412,221,3,4,Medium,Medium,7,19
2024,7,Emilia Romagna Grand Prix,74.746,24.188,41.55866667,43.25333333,1008.014667,FALSE,Permanent,4.909,234,1,2,Medium,Medium-High,6,19
2024,8,Monaco Grand Prix,70.27,21.24210526,44.72631579,60.85526316,1016.865789,FALSE,Street,3.337,161,1,1,Low,High,3,19
2024,9,Canadian Grand Prix,71.742,20.55384615,31.11666667,66.88461538,1000.762821,TRUE,Street-Park,4.361,215,2,3,Low,Low,8,13
2024,10,Spanish Grand Prix,71.383,24.08947368,36.53552632,68.35526316,1003.706579,FALSE,Permanent,4.657,203,2,3,High,Medium-High,6,12
2024,11,Austrian Grand Prix,64.314,31.32894737,46.10789474,37.69736842,938.5013158,FALSE,Permanent,4.318,245,3,4,Medium,Low-Medium,8,10
2024,12,British Grand Prix,85.819,13.69764706,21.21529412,74.38823529,987.3494118,TRUE,Permanent,5.891,247,2,4,High,Medium-High,7,18
2024,13,Hungarian Grand Prix,75.227,24.3752381,30.31333333,61.80952381,984.012381,TRUE,Permanent,4.381,214,1,2,Medium,High,4,14
2024,14,Belgian Grand Prix,113.159,18.00126582,22.02278481,92.70886076,966.5139241,TRUE,Permanent,7.004,239,2,3,Medium,Medium,8,19
2024,15,Dutch Grand Prix,69.673,24.48101266,30.14050633,66.32911392,1002.44557,FALSE,Permanent,4.259,215,2,3,High,High,5,14
2024,16,Italian Grand Prix,79.327,33.44556962,48.73037975,36.83544304,995.8670886,FALSE,Permanent,5.793,259,2,4,Low,Low,10,11
2024,17,Azerbaijan Grand Prix,101.365,27.02435897,36.74871795,36.51282051,1016.161538,FALSE,Street,6.003,210,2,4,Low,Medium,9,20
2024,18,Singapore Grand Prix,89.525,29.43333333,31.96344086,79.03225806,1007.590323,FALSE,Street,4.94,192,3,4,Medium,High,5,19
2024,19,United States Grand Prix,92.33,28.56133333,38.21733333,38.65333333,1005.437333,FALSE,Permanent,5.513,209,2,3,High,Medium-High,7,20
2024,20,Mexico City Grand Prix,75.946,21.96296296,39.41234568,40.5308642,784.7111111,FALSE,Permanent,4.304,197,3,4,Low,Low,8,17
2024,21,São Paulo Grand Prix,83.405,20.27196262,23.37943925,93.35514019,927.6383178,TRUE,Permanent,4.309,220,2,3,Medium,Medium,7,15
2024,22,Las Vegas Grand Prix,92.312,11.83469388,14.06530612,26.75510204,941.3316327,FALSE,Street,6.12,249,3,5,Low,Low,9,17
2024,23,Qatar Grand Prix,80.52,18.80769231,21.72051282,59.52564103,1017.724359,FALSE,Permanent,5.38,237,2,3,Very High,Medium-High,7,16
2024,24,Abu Dhabi Grand Prix,82.595,25.81111111,29.67283951,65.79012346,1017.335802,FALSE,Permanent,5.281,221,2,3,Low,Medium,7,16
2025,1,Australian Grand Prix,75.096,30.336,40.50133333,46.14666667,1009.376,FALSE,Street-Park,5.278,231,3,4,Medium,Medium,7,14
2025,2,Chinese Grand Prix,90.641,26.13246753,38.67012987,13.81818182,1015.151948,FALSE,Permanent,5.451,222,2,3,Medium,Medium,8,16
2025,3,Japanese Grand Prix,86.983,14.69529412,32.14117647,58.62352941,1013.291765,FALSE,Permanent,5.807,229,1,3,Low,High,6,18
2025,4,Bahrain Grand Prix,89.841,26.29655172,30.89425287,57.11494253,1004.088506,FALSE,Permanent,5.412,213,3,4,High,Medium,7,15
2025,5,Saudi Arabian Grand Prix,87.294,29.5755814,37.2255814,57.56976744,1006.3,FALSE,Street,6.174,254,3,5,Low,Low,9,27
2025,6,Miami Grand Prix,86.204,27.97435897,41.01538462,63.05128205,1013.488462,FALSE,Street-Park,5.412,221,3,4,Medium,Medium,7,19
2025,7,Emilia Romagna Grand Prix,74.67,22.80090909,39.41636364,30.43636364,1008.619091,FALSE,Permanent,4.909,234,1,2,Medium,Medium-High,6,19
2025,8,Monaco Grand Prix,69.954,21.13763441,40.28709677,59.44086022,1014.924731,FALSE,Street,3.337,161,1,1,Low,High,3,19
2025,9,Spanish Grand Prix,71.546,29.13636364,46.82337662,37.09090909,1005.480519,FALSE,Permanent,4.657,203,2,3,High,Medium-High,6,12
2025,10,Canadian Grand Prix,70.899,21.3,43.14588235,30.69411765,1018.96,FALSE,Street-Park,4.361,215,2,3,Low,Low,8,13
2025,11,Austrian Grand Prix,63.971,27.77386364,47.19659091,33.89772727,945.3329545,FALSE,Permanent,4.318,245,3,4,Medium,Low-Medium,8,10
2025,12,British Grand Prix,84.892,20.19655172,27.43218391,72.7816092,994.8505747,FALSE,Permanent,5.891,247,2,4,High,Medium-High,7,18
2025,13,Belgian Grand Prix,100.562,22.64556962,37.72658228,54.16455696,967.7291139,FALSE,Permanent,7.004,239,2,3,Medium,Medium,8,19
2025,14,Hungarian Grand Prix,75.372,28.14880952,42.53333333,37.21428571,983.3440476,FALSE,Permanent,4.381,214,1,2,Medium,High,4,14
2025,15,Dutch Grand Prix,68.662,20.59487179,34.22820513,64.47435897,1006.151282,FALSE,Permanent,4.259,215,2,3,High,High,5,14
