Year,Round,Race,PoleTime,TopSpeed,AvgSpeed,FullThrottleTime,MostCommonGear,AirTemp,TrackTemp,Humidity,Pressure,Rainfall
2019,1,Australian Grand Prix,80.486,320.0,236.3982036,55.96,7,23.16923077,37.77051282,69.1025641,1016.680769,False
2019,2,Bahrain Grand Prix,87.866,328.0,220.739011,56.642,6,25.08846154,28.98205128,53.83205128,1010.248718,False
2019,3,Chinese Grand Prix,91.547,320.0,214.1253333,54.078,3,20.57088608,33.96455696,48.42025316,1015.783544,False
2019,4,Azerbaijan Grand Prix,100.495,331.0,213.7836538,64.325,8,15.89848485,31.92575758,72.2,1023.359848,False
2019,5,Spanish Grand Prix,75.406,320.0,220.4384858,49.321,7,21.07012987,33.8,58.27142857,1004.596104,False
2019,6,Monaco Grand Prix,70.166,291.0,168.7854671,30.241,2,21.43896104,42.41038961,63.34155844,1014.396104,False
2019,7,Canadian Grand Prix,70.24,334.0,221.9827586,43.559,8,22.5,48.0212766,22.35,1022.084043,False
2019,8,French Grand Prix,88.319,340.0,235.6236264,54.762,8,26.27051282,54.03333333,45.78846154,965.0217949,False
2019,9,Austrian Grand Prix,63.003,330.0,247.1406844,44.681,8,29.65128205,50.98205128,27.09615385,941.8884615,False
2019,10,British Grand Prix,85.093,328.0,247.6324786,60.839,8,19.0,29.51139241,67.69873418,1005.189873,False
2019,11,German Grand Prix,71.767,325.0,229.8881356,46.879,7,28.32307692,44.02564103,51.68589744,990.0705128,False
2019,12,Hungarian Grand Prix,74.572,312.0,210.8925081,44.364,4,23.93164557,42.86075949,51.70506329,982.3329114,False
2019,13,Belgian Grand Prix,102.519,345.0,244.2230047,65.602,8,29.23804348,41.25434783,36.51413043,964.1293478,False
2019,14,Italian Grand Prix,79.307,354.0,262.6102719,56.319,8,22.98421053,37.29578947,51.20947368,992.6757895,False
2019,15,Singapore Grand Prix,96.217,322.0,187.9015152,44.359,4,30.01392405,34.55063291,61.25443038,1009.691139,False
2019,16,Russian Grand Prix,91.628,330.0,229.1644562,59.681,8,22.05764706,30.75058824,60.34117647,1016.378824,False
2019,17,Japanese Grand Prix,87.064,333.0,239.9068493,58.28,8,22.071875,35.74895833,61.36666667,1008.432292,False
2019,18,Mexico City Grand Prix,74.758,350.0,204.5540984,36.964,3,20.55128205,34.99358974,56.84615385,781.1717949,False
2019,18,Mexican Grand Prix,74.758,350.0,204.55409836065573,36.964000000000006,3,20.55128205128205,34.993589743589745,56.84615384615385,781.171794871795,False
2019,19,United States Grand Prix,92.029,325.0,213.5,55.243,7,20.45949367,26.36962025,25.00379747,1008.287342,False
2019,20,São Paulo Grand Prix,67.503,333.0,227.1366906,41.561,8,20.68205128,33.88974359,66.54871795,922.6730769,False
2019,20,Brazilian Grand Prix,67.503,333.0,227.13669064748203,41.56099999999999,8,20.682051282051283,33.88974358974359,66.54871794871795,922.6730769230772,False
2019,21,Abu Dhabi Grand Prix,94.779,323.0,209.0051414,55.239,3,25.94683544,30.37721519,64.22025316,1016.567089,False
2020,2,Austrian Grand Prix,77.825,300.0,198.203125,36.441,7,14.83902439,19.91138211,89.77154472,942.5390244,True
2020,3,Hungarian Grand Prix,73.447,318.0,213.1096774,42.12,6,18.78311688,27.25454545,71.4987013,987.8467532,False
2020,5,British Grand Prix,85.154,332.0,247.0,60.0,8,26.20512821,41.7974359,53.35641026,1003.520513,False
2020,6,Spanish Grand Prix,75.584,320.0,220.2692308,47.473,4,30.8025641,48.96666667,55.72820513,998.4576923,False
2020,7,Belgian Grand Prix,101.252,328.0,248.4004796,71.96,8,16.44936709,24.57974684,62.8443038,957.7670886,False
2020,8,Italian Grand Prix,78.887,340.0,263.8030769,60.079,8,29.16710526,45.32236842,43.59736842,995.7368421,False
2020,9,Tuscan Grand Prix,75.144,314.0,251.0546624,54.361,7,29.36233766,45.14935065,40.42987013,987.8961039,False
2020,10,Russian Grand Prix,91.304,333.0,229.8484043,60.238,7,25.81910112,32.92247191,56.73370787,1009.591011,False
2020,11,Eifel Grand Prix,85.269,321.0,216.2017045,50.003,7,9.396,18.16533333,56.54266667,949.1546667,False
2020,12,Portuguese Grand Prix,76.652,322.0,217.2083333,48.402,7,21.3037037,35.3787037,48.75833333,1013.674074,False
2020,13,Emilia Romagna Grand Prix,73.609,328.0,239.2233333,53.121,7,19.25194805,25.1987013,65.52077922,1018.167532,False
2020,14,Turkish Grand Prix,107.765,298.0,175.1609977,36.12,3,12.1375,13.50234375,89.8546875,1007.915625,True
2020,15,Bahrain Grand Prix,87.264,320.0,221.8916667,56.76,7,26.25232558,27.89883721,56.71860465,1016.101163,False
2020,16,Sakhir Grand Prix,53.377,328.0,236.6877828,36.241,8,24.01428571,26.92857143,77.4012987,1012.020779,False
2020,17,Abu Dhabi Grand Prix,95.246,321.0,207.9566327,56.799,3,23.39240506,28.8164557,61.5721519,1016.286076,False
2021,1,Bahrain Grand Prix,88.997,315.0,218.3423181,56.119,6,29.06025641,33.84358974,46.54487179,1009.65,False
2021,2,Emilia Romagna Grand Prix,74.411,322.0,237.6688312,53.28,7,13.68522727,26.88977273,41.97613636,1010.3125,False
2021,3,Portuguese Grand Prix,78.348,314.0,212.9104938,46.96,7,18.10128205,37.18076923,41.70769231,1005.607692,False
2021,4,Spanish Grand Prix,76.741,316.0,219.0689655,47.759,4,25.07727273,44.58977273,47.60340909,1002.453409,False
2021,5,Monaco Grand Prix,70.346,287.0,168.225256,31.162,2,18.74487179,32.7474359,72.33461538,1013.026923,False
2021,6,Azerbaijan Grand Prix,101.218,333.0,211.6357143,62.165,8,26.03434343,47.27070707,47.55555556,1013.322222,False
2021,7,French Grand Prix,89.99,329.0,230.9438503,54.202,8,29.29772727,44.32386364,44.98863636,966.5556818,False
2021,9,Austrian Grand Prix,63.72,320.0,242.9962264,45.2,8,25.61818182,51.72077922,27.20519481,936.3272727,False
