iterations,depth,learning_rate,avg_MAE
2000,3,0.025,2.388381556336261
1500,3,0.025,2.3983160465918063
1500,3,0.05,2.4014475893424034
2000,3,0.05,2.4021369622286945
1500,4,0.05,2.423623119654363
2000,4,0.05,2.423771309954199
2000,3,0.01,2.4666929196402547
1500,4,0.025,2.468775006257127
2000,4,0.025,2.4703104501233417
2000,4,0.01,2.4733848397252483
1500,4,0.01,2.523910210332015
1500,3,0.01,2.5255587004368776
