Year,Round,Race,PoleTime,TopSpeed,AvgSpeed,FullThrottleTime,MostCommonGear,AirTemp,TrackTemp,Humidity,Pressure,Rainfall,type,length_km,drs_zones_prev,active_aero_zones,tyre_wear,downforce_req,power_sensitivity,turns,longest_straight_km,reg,new_reg
2021,1,Bahrain Grand Prix,88.997,315,218.3423181,56.119,6,29.06025641,33.84358974,46.54487179,1009.65,FALSE,Permanent,5.412,3,4,High,Medium,7,15,1.09,A,N
2021,2,Emilia Romagna Grand Prix,74.411,322,237.6688312,53.28,7,13.68522727,26.88977273,41.97613636,1010.3125,FALSE,Permanent,4.909,1,2,Medium,Medium-High,6,19,1.1,A,N
2021,3,Portuguese Grand Prix,78.348,314,212.9104938,46.96,7,18.10128205,37.18076923,41.70769231,1005.607692,FALSE,Permanent,4.653,2,4,Medium,Medium,7,15,0.97,A,N
2021,5,Monaco Grand Prix,70.346,287,168.225256,31.162,2,18.74487179,32.7474359,72.33461538,1013.026923,FALSE,Street,3.337,1,1,Low,High,3,19,0.54,A,N
2021,6,Azerbaijan Grand Prix,101.218,333,211.6357143,62.165,8,26.03434343,47.27070707,47.55555556,1013.322222,FALSE,Street,6.003,2,4,Low,Medium,9,20,2.2,A,N
2021,7,French Grand Prix,89.99,329,230.9438503,54.202,8,29.29772727,44.32386364,44.98863636,966.5556818,FALSE,Permanent,5.842,2,4,High,Medium,7,15,0.9,A,N
2021,9,Austrian Grand Prix,63.72,320,242.9962264,45.2,8,25.61818182,51.72077922,27.20519481,936.3272727,FALSE,Permanent,4.318,3,4,Medium,Low-Medium,8,10,0.92,A,N
2021,10,British Grand Prix,86.023,325,244.1708683,58.839,8,24.9275,38.82,54.37,1009.815,FALSE,Permanent,5.891,2,4,High,Medium-High,7,18,0.76,A,N
2021,11,Hungarian Grand Prix,75.419,312,207.2038217,41.642,5,29.25517241,59.23908046,46.57126437,982.7057471,FALSE,Permanent,4.381,1,2,Medium,High,4,14,0.91,A,N
2021,12,Belgian Grand Prix,116.559,312,215.6226804,62.6,8,14.3238806,17.5880597,93.01268657,970.8738806,TRUE,Permanent,7.004,2,3,Medium,Medium,8,19,1.05,A,N
2021,13,Dutch Grand Prix,68.885,309,221.5594406,43.079,7,19.08659794,35.22371134,62.09793814,1018.897938,FALSE,Permanent,4.259,2,3,High,High,5,14,0.69,A,N
2021,14,Italian Grand Prix,79.555,338,260.6374622,61.483,8,25.41794872,32,43.46153846,995.2089744,FALSE,Permanent,5.793,2,4,Low,Low,10,11,1.22,A,N
2021,15,Russian Grand Prix,101.993,296,204.5200946,57.955,7,14.03924051,16.43797468,77.84936709,1015.788608,TRUE,Permanent,5.848,2,4,Low,Low-Medium,8,18,0.65,A,N
2021,16,Turkish Grand Prix,82.868,321,228.2869565,54.837,7,18.416,22.66133333,81.47866667,1004.596,TRUE,Permanent,5.338,2,3,Medium,Medium,6,14,0.72,A,N
2021,17,United States Grand Prix,92.91,319,210.8372093,55.759,7,29.61898734,36.68481013,55.27088608,991.7721519,TRUE,Permanent,5.513,2,3,High,Medium-High,7,20,1.02,A,N
2021,18,Mexico City Grand Prix,75.875,346,201.5477707,37.399,3,21.64134615,45.03173077,20.06826923,783.5153846,FALSE,Permanent,4.304,3,4,Low,Medium-High,8,17,1.29,A,N
2021,19,São Paulo Grand Prix,67.934,325,224.6985816,41.48,8,15.7025641,24.98846154,80.18589744,930.3538462,FALSE,Permanent,4.309,2,3,Medium,Medium,7,15,1.23,A,N
2021,20,Qatar Grand Prix,80.827,319,240.4302671,56.796,7,25.93846154,29.23974359,66.62692308,1009.602564,FALSE,Permanent,5.38,2,3,Very High,Medium-High,7,16,1.07,A,N
2021,21,Saudi Arabian Grand Prix,87.511,325,251.5082418,59,8,28.15384615,30.85769231,72.06025641,1013.74359,FALSE,Street,6.174,3,5,Low,Low,9,27,0.85,A,N
2021,22,Abu Dhabi Grand Prix,82.109,325,228.5350877,53.921,7,25.12962963,29.17283951,57.35802469,1018.630864,FALSE,Permanent,5.281,2,3,Low,Medium,7,16,1.14,A,N
2022,1,Bahrain Grand Prix,90.558,318,214.7731343,58,7,19.43589744,25.40384615,55.6025641,1013.682051,FALSE,Permanent,5.412,3,4,High,Medium,7,15,1.09,B,Y
2022,2,Saudi Arabian Grand Prix,88.2,335,246.3169231,65.518,6,23.48041958,25.36433566,58.68531469,1014.342657,FALSE,Street,6.174,3,5,Low,Low,9,27,0.85,B,Y
2022,3,Australian Grand Prix,77.868,314,241.8784722,55.721,8,23.23783784,29.15225225,57.65765766,1017.348649,FALSE,Street-Park,5.278,3,4,Medium,Medium,7,14,1.3,B,Y
2022,4,Emilia Romagna Grand Prix,78.793,305,222.8239203,52.361,7,12.43982301,14.31238938,86.44247788,997.7274336,TRUE,Permanent,4.909,1,2,Medium,Medium-High,6,19,1.1,B,Y
2022,5,Miami Grand Prix,88.796,336,216.4181818,49.2,8,33.21,51.20875,39.3875,1008.54,FALSE,Street-Park,5.412,3,4,Medium,Medium,7,19,1.2,B,Y
2022,7,Monaco Grand Prix,71.376,286,163.5955056,31.521,2,26.71234568,48.44444444,46.14814815,1003.701235,FALSE,Street,3.337,1,1,Low,High,3,19,0.54,B,Y
2022,8,Azerbaijan Grand Prix,101.359,334,214.3759791,63.321,8,24.82477876,35.17522124,68.23893805,1015.619469,FALSE,Street,6.003,2,4,Low,Medium,9,20,2.2,B,Y
2022,9,Canadian Grand Prix,81.299,306,189.9356913,40.88,3,13.49444444,18.12333333,76.3,1006.946667,TRUE,Street-Park,4.361,2,3,Low,Low,8,13,1.19,B,Y
2022,10,British Grand Prix,100.19,299,208.7918919,48.198,7,14.90379747,20.85316456,86.34177215,999.7151899,TRUE,Permanent,5.891,2,4,High,Medium-High,7,18,0.76,B,Y
2022,11,Austrian Grand Prix,64.984,322,238.6446281,44.64,8,19.0010101,35.94949495,34.43434343,946.3232323,FALSE,Permanent,4.318,3,4,Medium,Low-Medium,8,10,0.92,B,Y
2022,12,French Grand Prix,90.872,331,228.7159763,55.758,8,30.51428571,54.81298701,45.22077922,967.8142857,FALSE,Permanent,5.842,2,4,High,Medium,7,15,0.9,B,Y
2022,13,Hungarian Grand Prix,77.377,312,202.639576,41.847,4,22.2025641,29.80512821,71.08974359,984.3371795,FALSE,Permanent,4.381,1,2,Medium,High,4,14,0.91,B,Y
2022,14,Belgian Grand Prix,103.665,340,240.0528967,69.64,8,15.20666667,20.7,84.80952381,969.0371429,FALSE,Permanent,7.004,2,3,Medium,Medium,8,19,1.05,B,Y
2022,15,Dutch Grand Prix,70.342,327,216.6388889,40.239,4,26.92380952,39.05952381,30.27380952,1010.036905,FALSE,Permanent,4.259,2,3,High,High,5,14,0.69,B,Y
2022,16,Italian Grand Prix,80.161,343,258.6830065,60.002,8,27.60769231,40.26410256,34.70512821,990.775641,FALSE,Permanent,5.793,2,4,Low,Low,10,11,1.22,B,Y
2022,18,Japanese Grand Prix,89.304,331,234.3899371,56.281,6,19.8961039,26.4974026,57.46753247,1014.724675,FALSE,Permanent,5.807,1,3,Low,High,6,18,1.2,B,Y
2022,19,United States Grand Prix,94.356,321,206.1323944,53.802,7,30.04050633,35.86835443,36.81012658,991.0974684,FALSE,Permanent,5.513,2,3,High,Medium-High,7,20,1.02,B,Y
