Feature,Importance
length_km,63.82003032032244
AvgSpeed,13.946628337023808
FullThrottleTime,7.59434648494354
turns,3.16034842377713
power_sensitivity,2.1284400689462015
TrackTemp,1.8317172537590838
MostCommonGear,1.8236059521380397
Rainfall,1.3629515253989857
longest_straight_km,1.2458934611122932
downforce_req,1.1827951488059885
AirTemp,1.1725863879618397
TopSpeed,0.41165323544913857
reg,0.19471834755003134
new_reg,0.0729544854081269
tyre_wear,0.051330567403326366
